Project,Issue,Link,Patch,IssueLink,patchLink,MajorLeak,LeakType,DetectionType,DetectionMethod,DefectType,FileType,FixType,Transformation,Duration (days),files,churn,addedLines,removedLines,modifiedFiles,addedFiles,removedFiles
AMQ,AMQ-1044,https://issues.apache.org/jira/browse/AMQ-1044,https://mail-archives.apache.org/mod_mbox/activemq-commits/200611.mbox/raw/%3C20061114124417.A69E61A984F@eris.apache.org%3E/,AMQ-1044,AMQ-1044,Memory,Memory,Runtime detection,Runtime,concurrency,java,threadSafe,Modify to synchronized,512.0229404,1,49,26,23,1,0,0
AMQ,AMQ-1070,https://issues.apache.org/jira/browse/AMQ-1070,No leak,AMQ-1070,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-1172,https://issues.apache.org/jira/browse/AMQ-1172,No leak,AMQ-1172,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-1177,https://issues.apache.org/jira/browse/AMQ-1177,https://fisheye.apache.org/rdiff/activemq-6?csid=e5b45f6b4b60e72841166200245899b1a588691d&u&N,AMQ-1177,AMQ-1177,Resource,Connection,Runtime detection,Out-of-memory error,exception,java,disposeExcep,Add try-exception block,6.889522454,2,12,7,5,2,0,0
AMQ,AMQ-1178,https://issues.apache.org/jira/browse/AMQ-1178,https://fisheye.apache.org/rdiff/activemq-6?csid=ef1d3559f502309194b7c9dd6388b92216e72c71&u&N,AMQ-1178,AMQ-1178,Resource,Connection,Source code-based detection,Manual code inspection,nonClosedRes,java,disposeReg,Add try-finally block,6.791853137,1,47,30,17,1,0,0
AMQ,AMQ-1202,https://issues.apache.org/jira/browse/AMQ-1202,No patch,AMQ-1202,No patch,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,fixed,219.4180517,0,0,0,0,0,0,0
AMQ,AMQ-1205,https://issues.apache.org/jira/browse/AMQ-1205,https://issues.apache.org/jira/secure/attachment/12460999/scheduler.patch,AMQ-1205,AMQ-1205,Resource,Thread,Runtime detection,Out-of-memory error,callSchedule,java,threadDown,Add a checker,221.4867746,1,4,3,1,1,0,0
AMQ,AMQ-1214,https://issues.apache.org/jira/browse/AMQ-1214,http://svn.apache.org/viewvc/activemq/trunk/activemq-core/src/main/java/org/apache/activemq/ActiveMQConnection.java?r1=669511&r2=669512&pathrev=669512&view=patch,AMQ-1214,AMQ-1214,Resource,Thread,Runtime detection,Runtime,nonClosedRes,java,threadDown,Complex,450.0251744,1,52,33,19,1,0,0
AMQ,AMQ-125,https://issues.apache.org/jira/browse/AMQ-125,No patch,AMQ-125,No patch,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,fixed,18.12856481,0,0,0,0,0,0,0
AMQ,AMQ-1297,https://issues.apache.org/jira/browse/AMQ-1297,No leak,AMQ-1297,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
AMQ,AMQ-1322,https://issues.apache.org/jira/browse/AMQ-1322,https://issues.apache.org/jira/secure/attachment/12460838/ASF.LICENSE.NOT.GRANTED--AdvisoryBroker.patch,AMQ-1322,AMQ-1322,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add a checker,11.05052176,1,34,19,15,1,0,0
AMQ,AMQ-139,https://issues.apache.org/jira/browse/AMQ-139,No patch,AMQ-139,No patch,Memory,Memory,Runtime detection,Out-of-memory error,unreleasedRef,java,releaseRef,fixed,55.06954861,0,0,0,0,0,0,0
AMQ,AMQ-1483,https://issues.apache.org/jira/browse/AMQ-1483,No patch,AMQ-1483,No patch,Resource,Thread,Runtime detection,Runtime,nonClosedRes,java,disposeReg,fixed,160.2599956,0,0,0,0,0,0,0
AMQ,AMQ-1672,https://issues.apache.org/jira/browse/AMQ-1672,https://fisheye.apache.org/rdiff/activemq-6?csid=16f2d753e8f96c35910971c5994c9f84778f63ba&u&N,AMQ-1672,AMQ-1672,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,3.640219225,20,135,71,64,20,0,0
AMQ,AMQ-1709,https://issues.apache.org/jira/browse/AMQ-1709,https://fisheye.apache.org/rdiff/activemq-6?csid=2aa661d724572f70ba91fc76c7af7c1ed836552b&u&N,AMQ-1709,AMQ-1709,Memory,Memory,Runtime detection,Runtime,concurrency,java,threadSafe,Modify call argument,12.75109336,1,3,2,1,1,0,0
AMQ,AMQ-1790,https://issues.apache.org/jira/browse/AMQ-1790,https://fisheye.apache.org/rdiff/activemq-6?csid=4b27e761c732bb545df6fd4c62a64970ac5fbe1e&u&N,AMQ-1790,AMQ-1790,Memory,Memory,Runtime detection,Out-of-memory error,collection,java,removeElm,Add dispose function,8.533043229,3,9,7,2,3,0,0
AMQ,AMQ-1791,https://issues.apache.org/jira/browse/AMQ-1791,https://issues.apache.org/jira/secure/attachment/12461009/ASF.LICENSE.NOT.GRANTED--connectionleak.patch,AMQ-1791,AMQ-1791,Resource,Thread,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add a checker,7.502620162,1,16,12,4,1,0,0
AMQ,AMQ-1842,https://issues.apache.org/jira/browse/AMQ-1842,https://fisheye.apache.org/rdiff/activemq-6?csid=63e3f41af28db87f80bc68823d8a9b2e469ab408&u&N,AMQ-1842,AMQ-1842,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,disposeReg,Complex,174.7714186,19,314,171,143,18,1,0
AMQ,AMQ-1848,https://issues.apache.org/jira/browse/AMQ-1848,https://fisheye.apache.org/rdiff/activemq-6?csid=f4012c50984a4726d562aaa270105a37c41d842c&u&N,AMQ-1848,AMQ-1848,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,Modify call argument,0.7627539815,2,16,11,5,2,0,0
AMQ,AMQ-1889,https://issues.apache.org/jira/browse/AMQ-1889,https://fisheye.apache.org/rdiff/activemq-6?csid=293a6983eb84e632bbd391a72c4152af5f329f60&u&N,AMQ-1889,AMQ-1889,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,Add call to dispose function,0.001304074,1,1,1,0,1,0,0
